IP Sections,Bailable
460,Non-Bailable
461,Non-Bailable
462,Bailable
465,Bailable
466,Non-Bailable
467,Non-Bailable
468,Non-Bailable
469,Bailable
471,Bailable
472,Bailable
473,Bailable
474,Bailable
475,Bailable
476,Non-Bailable
477,Non-Bailable
477,Bailable
482,Bailable
483,Bailable
484,Bailable
485,Bailable
486,Bailable
487,Bailable
488,Bailable
489,Bailable
489,Non-Bailable
489,Non-Bailable
489,Bailable
489,Non-Bailable
489,Bailable
490,Bailable
491,Bailable
493,Non-Bailable
494,Bailable
495,Bailable
496,Bailable
497,Bailable
498,Bailable
498,Non-Bailable
500,Bailable
501,Bailable
502,Bailable
504,Bailable
505,Non-Bailable
506,Bailable
507,Bailable
508,Bailable
509,Bailable
510,Bailable
511,Same As for Offence attempted
